task_id,phase,task_code,title,description,status,priority,depends_on,estimated_hours,actual_hours,date_started,date_completed,notes
181,6,6.5.1,Implementare to_ml_dataset,Normalizzazione split by patient (X y metadata),todo,medium,175,3,,,,
182,6,6.6.1,API high-level Session.from_file,Una riga per tutto,todo,high,127,1,,,,
183,6,6.6.2,API high-level Study.from_folder,Una riga per multi-paziente,todo,high,173,1,,,,
184,6,6.7.1,Test end-to-end sintetico -> CSV,File sintetico -> Session -> DataFrame -> CSV -> rileggi -> verifica,todo,high,176,2,,,,
185,6,6.7.2,Test Study 3 file -> DataFrame,3 sintetici -> Study -> 3 patient_id nel DataFrame,todo,high,175,1,,,,
186,7,7.1.1,Implementare to_pyeit_format,(208 N_frames) -> (N_frames 208) trasposta,done,medium,74,1,1,2026-03-27,2026-03-27,measurements gia shape (N_frames,208) — nessuna trasposizione. to_pyeit_format non necessario.
187,7,7.1.2,Documentare pattern stimolazione pyEIT,Adjacent 16el 5mA rotate_meas,done,medium,186,0.5,0.5,2026-03-27,2026-03-27,Adjacent 16el dist_exc=1 step_meas=1 parser_meas=std. 16x13=208. Documentato in eit_greit.py docstring.
188,7,7.1.3,Notebook esempio .eit -> pyEIT,notebooks/03_pyeit_integration.ipynb,done,medium,186,3,3,2026-03-27,2026-03-27,notebooks/03_eit_parser_validation.ipynb — sezioni 6-9 con GREIT reconstruction + confronto .bin
189,7,7.2.1,Implementare from_pyeit_reconstruction,Interpolazione mesh -> 32x32 griddata,done,medium,188,3,3,2026-03-27,2026-03-27,eit_greit.py: build_greit() + reconstruct_greit(). Output (N_frames,32,32) gia negato e ruotato 90CCW. ref_frame esterno per cross-file EELI.
190,7,7.2.2,Documentare interpolazione,Una riga nel methods di ogni paper,todo,medium,189,0.5,,,,
191,7,7.4.1,Test sintetico pyEIT round-trip,Dati -> pyEIT -> ricostruzione -> features,todo,medium,189,2,,,,
192,7,7.4.2,Test correlazione .bin vs .eit+pyEIT,Features devono correlare sullo stesso paziente,todo,medium,191,2,,,,
193,BACKLOG,B.1,GUI wrapper pyEIT in eit-studio,Dropdown algoritmo override parametri end-to-end dal .eit,todo,low,,8,,,,Post v1.0
194,BACKLOG,B.2,Guida acquisizione EIT bedside,Wizard step-by-step per protocollo PEEP trial,todo,low,,6,,,,Post v1.0
196,BACKLOG,B.4,Supporto multi-vendor,Timpel Sentec come eitprocessing,done,low,,12,8,2026-03-22,2026-03-22,TimpelTabularParser implementato completo: validate() + parse() con slicing + NaN sentinel + aux_signals. TIMPEL_FRAME_DTYPE (ts+pixels 32x32). 41 test verdi. Coverage 93%. Sentec rimane todo.
197,BACKLOG,B.5,Docker compose deployment,Django + Postgres + Redis containerizzato,todo,low,,4,,,,Post v1.0
198,BACKLOG,B.6,Valutazione GDPR multi-utente,Con DPO per deployment cloud,todo,low,,2,,,,Post v1.0
199,1,V.1,Implementare plot_frame heatmap,Heatmap 32x32 singolo frame matplotlib,todo,high,26,1,,,,Per debugging
200,4,V.2,Implementare plot_frame_with_mask,Heatmap + contorno mask sovrapposto,todo,high,101,1,,,,
201,VIZ,V.3,Implementare plot_tidal_image,Mappa TIV di un respiro,todo,medium,131,1,,,,
202,4,V.4,Implementare plot_global_impedance,Segnale nel tempo + breath markers,todo,high,118,1,,,,
203,4,V.5,Implementare plot_lung_mask,Mask binaria visualizzata,todo,medium,101,1,,,,
204,VIZ,V.6,Implementare plot_peep_steps,EELI con PEEP step evidenziati,todo,medium,157,1,,,,
205,VIZ,V.7,Implementare plot_features_over_time,Dashboard EELI TIV CoV GI nel tempo,todo,medium,163,2,,,,
206,D,D.0,Creare branch dev,git checkout -b dev && git push -u origin dev. Da questo momento tutto il lavoro va su dev o feature branch da dev. Main = solo codice rilasciato,done,critical,,0.1,0.1,2026-03-24,2026-03-24,Branch dev creato da main e pushato con -u
207,D,D.1,CODE_OF_CONDUCT.md,Contributor Covenant v2.1 lingua inglese. Branch docs/code-of-conduct da dev. Merge in dev.,done,high,206,0.2,0.3,2026-03-24,2026-03-24,Merged via PR. Nota: prima PR andata su main per errore poi fixata con cherry-pick e force push dev
208,D,D.2,CONTRIBUTING.md,Sezioni: bug report / feature request / dev setup / code style / testing / PR process. Rimandare a docs/parsing_layer.md per parser. NON menzionare roadmap futura (OPSEC). Branch docs/contributing da dev.,done,high,207,0.5,0.4,2026-03-24,2026-03-24,Merged via PR. Intro resa piu accogliente con commit diretto su dev
210,O,O.1,Vettorizzare sentinel loop in DragerBinParser,Sostituire i due loop Python in bin_parser.py (pixel step 6 + medibus step 8) con operazione numpy vettorizzata sull intero array 3D. replace_no_data_sentinels accetta gia array — basta passare tutto il blocco in una sola chiamata. Branch fix/sentinel-vectorize da dev.,done,medium,206,0.5,0.3,2026-03-24,2026-03-24,Merged via PR. 51 test verdi. Chiude issue #3. Milestone 1.
211,B,B.1,Notebook benchmark memmap vs struct.unpack,notebooks/benchmark_parsing.ipynb — genera file .bin sintetici 1/10/50/100/500MB — benchmark np.memmap vs struct.unpack loop — plot tempo e RAM — conclusione in markdown. Branch bench/memmap-vs-struct da dev.,done,low,210,1,2026-03-24,2026-03-24,2,Biglietto da visita per community. Fare DOPO O.1 cosi misura codice ottimizzato
212,CI,CI.1,GitHub Action build check matrix,Action che fa pip install . (senza -e) su Python 3.10/3.11/3.12 — verifica che il pacchetto si installi correttamente. Trigger su push dev e PR su dev/main. Integra con test.yml esistente o action separata. Branch ci/build-check da dev.,done,medium,206,0.3,0.3,2026-03-24,2026-03-24,build.yml creato. test.yml e lint.yml estesi a dev. Merged su main per errore poi sincronizzato con merge main->dev
214,D,D.4,MkDocs setup,pip install mkdocs mkdocs-material mkdocstrings. mkdocs.yml con nav: Home/Data Model/Parsing Layer. docs/index.md copia README estesa. mkdocs serve per verifica. Opzionale GitHub Action gh-deploy. Branch docs/mkdocs-setup da dev.,todo,low,209,0.5,,,,Nice to have pre-release
215,P,P.1,GitHub profile README,Creare repo Kernel236/Kernel236. README: chi sei (anestesista/R analyst/dev Python) interessi (EIT ventilazione meccanica analisi dati clinici sicurezza informatica) progetti (fastEIT con link) stack (Python R Bash JS). NON menzionare startup/agenti/Django. Lingua inglese tono professionale. Semplice: 25-30 righe. Fare PRIMA di esposizione community.,done,high,206,0.3,0.5,2026-03-24,2026-03-24,Repo Kernel236/Kernel236 creata. README con bio ICU/CS badge linguaggi TryHackMe fastEIT link
218,E,E.2,PR a eitprocessing se accettano,Fork implementa nel loro codebase seguendo le loro convenzioni. Se accettano offri anche porting del .bin parser.,todo,low,217,3,,,,
213,2,2.0.5b,Annotare read_draeger_file parte 2,Seconda metà: tensioni principali secondarie segnali e fine frame. Completare annotazione. Deliverable: sezione completa in docs/eidors_analysis.md verificabile,todo,high,54,2,,,,
216,2,2.8.1b,docs/eit_format.md parte 2,Sezione formula transimpedenze (ft factors spiegati). Esempi pratici con valori reali. Confronto con formato Carefusion. Note versioni firmware. Deliverable: documento completo pubblicabile,todo,high,84,2,,,,Deliverable pubblicabile
217,11,11.1,Generazione chiavi progetto,Script tools/keygen.py genera coppia Ed25519. public_key.pem committata in fasteit/trust/. Private key mai nel repo. Deliverable: public key nel pacchetto installabile,todo,low,,1,,,,Dipende da Fase 10
219,11,11.3,Tool firma credential (maintainer),Script tools/sign_credential.py: credential.json + private_key.pem → signature.sig. Deliverable: round-trip test firma→verifica,todo,low,217,1,,,,
220,11,11.4,Verifica firma credential nel software,fasteit/trust/verify.py — verify_credential(credential_path sig_path) → bool. Usa public_key inclusa nel pacchetto. Offline. Deliverable: test con credential valida / scaduta / firma alterata,todo,low,219,2,,,,
221,11,11.5,Trust level per annotazioni,Flag trusted:bool nelle annotazioni basato su credential attiva al momento. Deliverable: annotazione trusted marcata diversamente in export,todo,low,220,1,,,,
222,11,11.6,Esportazione model bundle firmato,Script tools/export_bundle.py assembla weights+config+metrics+training_metadata+credential+signature. Deliverable: bundle esportabile e verificabile,todo,low,220,2,,,,
223,11,11.7,Verifica bundle lato maintainer,Script tools/verify_bundle.py: verifica firma + credential + stampa report (contributor site metriche stato). Deliverable: script CLI su bundle reale,todo,low,222,1,,,,
224,11,11.8,Model registry,model_registry.json con stati candidate/promoted/rejected. Traccia contributor_id data metriche hash weights. Deliverable: registry aggiornabile con script,todo,low,223,1,,,,
225,11,11.9,UI confronto modelli in eit-studio,Tabella modelli con metriche affiancate. Azioni promuovi/rigetta con note. Deliverable: pagina Django funzionante,todo,low,224,2,,,,
226,11,11.10,Documentazione contributor workflow,docs/contributor_guide.md: come diventare trusted contributor allenare esportare bundle proporlo. Deliverable: documento pubblicabile,todo,low,223,1,,,,
227,1,1.3.3,Investigare formato .get (raw transimpedanze?),File .get da software Dräger: 1024 byte/frame = 256x float32. Capire se sono le 256 coppie elettrodo full-matrix o altro. Confrontare struttura con .bin e .eit,todo,high,28,2,,,,Ipotesi: matrice 16x16 transimpedanze grezze (pre-ricostruzione). patient01.get=11776000 byte/11500frame=1024b/frame. Verificare su patient02.get atteso 12441600b
228,2,2.1.6,Investigare struttura interna frame .eit,"\""Frame=5495 byte: ts(8)+?. 5487 byte rimanenti non divisibili per 4 -> campo non-float32. Ipotesi: 208 misure complex float32 + pixel data 32x32. Validare con EIDORS (Task 2.0)\""",done,high,59,3,,,2026-03-25,full frame layout documented — notebook §3 annotated hexdump
229,1,1.3.5,Fix naming _MEDIBUS_EXT_EXTRA in dtypes.py,"\""Rinominare le ultime 4 tuple: idx54=airway_pressure_pod idx55=esophageal_pressure_pod idx56=transpulmonary_pressure_pod idx57=gastric_pressure_pod. Aggiornare MEDIBUS_EXT_INDEX. Aggiornare test in test_dtypes.py\""",done,high,29,0.5,2026-03-19,2026-03-19,Fix completato — time_at_low_pressure_pod rimosso gastric_pressure_pod aggiunto test aggiornati 22/22 verdi,
230,1,1.4.6,Documenta reverse eng .bin,Notebook bin_format.ipynb completo con hexdump annotato,done,high,26,2,2026-03-19,2026-03-19,bin_format.ipynb esteso: sezione Healthy_Lung (01_Healthy_Lung_01.bin) EXT 4382b a 20Hz no PressurePod. Scoperta: Drager USA SEMPRE 4382b indipendente da PressurePod. Pod assente = idx54-57 sentinel 0xFF7FC99E. PHigh idx51 = ultimo standard (non ext). Nomi idx52-53 corretti: Plow/Tlow,
231,2,2.1.7,Documenta reverse eng .eit,Notebook eit_format.ipynb con header+frame size,done,high,56,1,2026-03-19,2026-03-19,docs/reverse_eng/eit_format.ipynb — frame_size=5495 ts confermato binary_start=preamble[1]+8,
232,1,1.3.6,Analisi prototipo vecchio ASC parser,"\""Analisi docs/prototype_analysis.md: breath detection PEEP detection features 150+ per breath. Utile come spec per Task 3.x-4.x\""",done,medium,,1,2026-03-19,2026-03-19,Prototipo analizzato — logica documentata in docs/prototype_analysis.md,
233,1,1.0.1,Definire parser registry contract,"\""Definire mapping esplicito (vendor extension) -> parser factory e policy strict. Obiettivo: routing deterministico e API stabile per chiamata diretta parser\""",done,high,12,1,0.5,2026-03-26,loader.py completo: ParserFactory type alias + default_parser_registry() + _normalize_vendor() + vendor aliases. Testato in test_parser_routing.py.
234,1,1.0.2,Implementare load_data orchestrator,"\""Entry point unico: detect vendor/formato -> build parser -> parse_safe -> metadata detection. Deve funzionare su singolo file e restare indipendente da parser .eit specifico\""",done,high,233,1.5,0.5,2026-03-26,load_data() + load_many() + load_folder() completi in loader.py. Metadata detection.vendor/extension/bin_format attaccati a BaseData. Testati batch e skip-on-error.
235,1,1.0.3,Implementare load_many_data batch mixed,"\""API batch per lista file multi-estensione multi-vendor con report per-file (ok/error). Non bloccare tutto al primo errore\""",todo,high,234,2,,,,
236,1,1.0.4,Consolidare autodetect vendor .bin,"\""Usare BIN_FORMAT_SPECS come source of truth e spec.vendor come chiave routing. Coprire validazione estensione e file size\""",todo,high,23,1,,,,
237,1,1.0.5,Implementare score_format_sanity per .bin ambiguo,"\""Quando più frame size dividono file_size calcolare score su campioni start/middle/end e scegliere spec migliore\""",todo,high,236,2,,,,
238,1,1.0.6,Integrare score in detect_best_format,"\""Sostituire placeholder AmbiguousFormatError con decisione score-based in strict/non-strict con messaggi diagnostici\""",todo,high,237,1,,,,
240,1,1.0.8,Integrare sentinel replacement in parse bin,"\""SPOSTATO A PREPROCESSING. Parser è lazy by design — non copia in RAM non rimpiazza valori. replace_no_data_sentinels va chiamata nel preprocessing layer come prima operazione prima di qualsiasi calcolo.\""",cancelled,high,239,0,,,2026-03-26,Rimosso deliberatamente dal parser (refactor/lazy-parsing branch). Prima task di Fase 4: 4.0.1.
242,1,1.0.10,Test unit detection e routing single file,"\""Test per detect_vendor_and_format build_parser_for_detection load_data con fixture sintetiche minime\""",todo,high,234,1.5,,,,
243,1,1.0.11,Test unit batch mixed,"\""Test load_many_data con mix .bin/.eit/.csv e parser mancanti. Verificare report successi fallimenti\""",todo,medium,235,1.5,,,,
7.0.1,7,7.0.1,GREIT reconstruction bridge,eit_greit.py: reconstruct_greit() + build_greit() wrapping pyEIT GREIT. Sign correction + rot90 for anatomical orientation. External ref_frame for cross-recording EELI.,done,high,,2,2,,2026-03-27,Implemented in src/fasteit/parsers/draeger/eit/eit_greit.py. Validated in notebook 03 §6-8.
7.0.2,7,7.0.2,Validate std vs fmmu protocol,Empirical test: which pyEIT measurement ordering matches Dräger .eit binary layout?,in_progress,critical,7.0.1,1,2026-03-27,,Test cell in notebook 03 §9 — needs to be run by Riccardo to determine correct parser_meas.
7.0.3,7,7.0.3,Validate .eit/.bin frame alignment,Cross-correlation lag check — prerequisite for ML paired dataset.,in_progress,critical,7.0.1,0.5,2026-03-27,,Cross-correlation cell in notebook 03 §10 — needs to be run.
ML.1,ML,ML.1,Data-driven reconstruction — Ridge baseline,sklearn Ridge regression X=(N_frames 208) y=(N_frames 1024). Learn Draeger reconstruction matrix empirically from paired .eit/.bin data.,todo,high,7.0.3,3,,,Branch feat/ml-reconstruction. Prerequisite: lag=0 confirmed in 7.0.3.
ML.2,ML,ML.2,ML training notebook,Training curves / epochs / validation set / SSIM vs .bin frames,todo,high,ML.1,3,,,Notebook 04_ml_reconstruction.ipynb
ML.3,ML,ML.3,Evaluate CNN option,Compare Ridge vs small CNN (U-Net or MLP) on same paired dataset,todo,medium,ML.2,4,,,Only if Ridge spatial quality insufficient
